D1	D2	RR	direction_yes_no	p5years	p.value.direction	AGE_AT_D1	counts	female_counts	CODE_DIFF_DAYS	death_counts
C01	C78	2.59367	1	2.78620118208961e-68	6.303858e-08	22085.42	88	nan	451.41	nan
C01	F41	4.03673	1	7.7987675325712e-83	5.011729e-10	22008.97	64	22	417.19	nan
C01	G47	1.48293	1	8.70978691000641e-11	1.213587e-10	22028.02	66	nan	454.15	nan
C01	K10	24.4706	1	0	9.171731e-10	21345.73	101	21	707.5	31
C01	K59	1.70899	1	4.09517879047636e-29	2.660323e-11	22531.17	130	27	359.78	86
C02	C34	1.40698	1	2.80909213478091e-16	4.484225e-13	23628.23	145	40	608.32	119
C02	C78	1.33421	1	1.96205203982252e-10	2.735447e-10	22802.94	120	39	529.6	nan
C02	C79	1.50928	1	1.85389785981394e-15	9.666702e-13	21850.61	87	27	616.94	nan
C02	D63	1.97457	1	3.70597038803171e-31	1.100286e-08	22159	74	21	381.86	nan
C02	E64	11.1998	1	0	2.276294e-14	23261.55	174	52	270.79	130
C02	E86	1.904	1	1.11682658344551e-80	1.27047e-15	24234.15	268	100	453.91	209
C02	F41	3.99526	1	5.95654614856515e-161	2.621359e-15	23132.09	109	37	407.51	nan
C02	G47	1.56737	1	2.02167805751143e-24	4.737566e-14	23094.05	108	29	479.48	nan
C02	I89	6.18676	1	7.78949226994501e-116	1.848519e-11	21668.36	88	34	235.98	45
C02	J18	1.28163	1	2.11792170178753e-27	2.053001e-11	23631.36	395	133	517.41	315
C02	J96	1.37247	1	9.74461649486883e-17	8.494985e-16	23110.73	161	46	571.03	140
C02	K02	16.3679	1	0	5.315041e-09	21644.62	397	94	220.86	229
C02	K04	10.8758	1	0	1.041995e-08	22102.82	373	94	195.75	185
C02	K10	26.8045	1	0	1.219589e-25	21081.96	226	70	595.35	116
C02	K12	16.9193	1	0	3.779077e-19	22598.03	176	48	208.05	104
C02	K59	1.78115	1	2.63412942102085e-77	1.930598e-20	23577.37	247	72	431	199
C03	E64	13.2198	1	2.74661333208988e-152	3.406391e-12	23317.34	73	28	250.07	49
C03	K10	42.7661	1	0	2.931354e-08	22962.64	115	46	491.52	58
C04	C34	1.44728	1	1.95490948206987e-12	5.046491e-10	22704.87	117	34	664.3	nan
C04	C78	1.62209	1	2.0916553095461e-19	1.853171e-12	22878.17	105	33	566.76	nan
C04	C79	1.98922	1	9.14398505131027e-31	1.327669e-10	22664.67	66	21	532.3	nan
C04	E64	10.5697	1	2.16478040804933e-233	2.999091e-09	22898.11	132	38	251.48	91
C04	E86	1.92139	1	8.76741374465304e-48	3.840623e-16	23983.58	195	54	604.63	161
C04	F41	3.9966	1	3.73035289890223e-105	1.081114e-11	23232.68	87	30	410.56	nan
C04	G47	2.03864	1	4.97325231312201e-45	2.631805e-12	22272.85	73	nan	517.27	nan
C04	I89	7.07784	1	1.90477390120108e-91	1.351381e-10	22301.01	75	22	162.99	41
C04	J96	1.51032	1	2.16857195620527e-18	5.543959e-09	22766.47	150	43	426.59	112
C04	K10	50.1496	1	0	5.148971e-31	21178.49	295	74	543.86	156
C04	K12	18.069	1	3.73524622950882e-298	1.807209e-11	22537.46	148	46	259.35	89
C04	K59	2.00836	1	1.82567682988027e-74	1.232434e-15	23168.18	182	58	430.19	143
C06	A49	1.52038	1	3.34725093321752e-21	9.355018e-11	23988.27	162	47	471.19	120
C06	C04	166.466	1	0	3.940339e-10	22953.61	1063	350	115.06	625
C06	C15	3.62112	1	7.15209572368607e-112	9.929762e-11	22503.9	106	31	591.03	nan
C06	C34	1.4338	1	6.45228398528163e-30	3.752288e-27	23388.01	263	68	585.62	227
